,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
6920,1,0,0,1,27.0,1,0,2,1,1,1,1,1,1,2,0,1,19.7,509.3
6029,1,0,0,0,4.0,1,0,1,2,2,0,2,0,2,0,1,3,94.9,360.55
4194,0,0,1,0,71.0,1,2,2,1,1,1,1,1,1,2,1,1,25.95,1801.9
4565,0,0,1,0,71.0,0,1,0,2,2,2,2,2,2,1,0,0,66.8,4689.15
1945,0,0,1,1,71.0,1,0,2,1,1,1,1,1,1,2,0,0,20.5,1500.95
87,0,0,1,1,48.0,1,0,2,1,1,1,1,1,1,2,0,0,20.65,1057.0
1065,0,0,0,0,23.0,1,2,1,2,0,0,0,2,0,0,1,0,90.05,2169.8
1855,1,0,1,1,46.0,1,0,2,1,1,1,1,1,1,2,1,3,20.1,936.85
852,1,0,0,0,2.0,1,2,2,1,1,1,1,1,1,0,0,3,24.85,62.0
6734,1,0,0,0,12.0,1,0,0,0,0,0,2,0,0,0,0,0,50.25,593.75
1332,1,0,0,0,69.0,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1713.1
6979,1,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,3,24.2,24.2
6155,1,0,1,0,5.0,1,0,2,1,1,1,1,1,1,0,0,3,19.35,126.05
2488,1,0,0,0,31.0,1,0,0,0,0,2,2,0,0,0,1,2,55.25,1715.65
4240,1,0,0,0,8.0,1,2,1,0,2,2,0,2,0,0,1,2,94.0,773.65
1536,1,0,1,1,69.0,1,0,0,2,2,2,2,2,0,2,1,0,75.75,5388.15
2968,1,0,0,0,3.0,1,0,1,0,2,2,0,0,2,0,0,2,90.4,268.45
5478,1,0,1,0,52.0,1,0,1,2,2,2,2,2,2,2,1,2,106.3,5487.0
3546,1,0,1,0,71.0,1,2,0,2,0,2,2,2,2,2,0,2,83.2,6126.1
98,1,0,0,0,52.0,1,0,2,1,1,1,1,1,1,2,0,0,21.0,1107.2
5781,0,0,0,0,27.0,1,0,1,0,0,2,2,0,2,0,1,2,89.2,2383.6
2227,1,0,1,1,58.0,1,0,2,1,1,1,1,1,1,1,1,2,19.55,1108.8
6590,0,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,1,2,70.85,70.85
6950,0,0,1,1,5.0,1,0,0,2,0,0,0,0,0,0,1,3,49.4,232.55
2727,1,0,0,0,5.0,1,2,1,0,0,0,0,2,2,0,1,0,94.85,462.8
1093,0,0,1,1,71.0,1,2,1,2,0,2,2,0,2,2,0,2,100.45,7159.7
6188,1,0,0,0,18.0,1,0,2,1,1,1,1,1,1,0,0,3,20.05,358.5
6401,0,0,0,1,3.0,1,0,0,2,0,0,2,0,0,0,1,3,55.1,154.65
3518,1,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,0,3,19.45,19.45
3342,1,0,0,0,40.0,0,1,0,2,2,2,0,2,2,1,0,1,62.05,2511.55
2209,1,0,1,0,8.0,1,0,2,1,1,1,1,1,1,0,1,0,19.55,161.15
2102,1,0,0,1,18.0,1,2,1,0,0,2,0,0,0,0,1,1,80.55,1406.65
4705,1,0,0,0,6.0,1,0,1,2,2,0,0,0,0,0,1,2,78.95,494.95
6934,1,0,1,0,71.0,1,2,1,0,2,0,2,2,2,2,1,1,104.15,7365.3
1530,1,0,1,1,2.0,1,0,1,0,0,2,2,0,2,0,0,1,90.0,190.05
374,1,0,0,0,37.0,1,0,1,0,2,0,0,2,2,0,1,1,96.1,3646.8
1232,1,0,1,1,34.0,1,0,1,0,0,0,0,2,0,0,0,2,78.3,2564.3
3661,0,0,0,0,51.0,1,0,1,0,0,0,0,2,2,1,0,1,87.55,4475.9
6375,0,0,0,0,1.0,1,0,1,0,2,0,0,0,0,0,1,1,74.3,74.3
467,1,0,1,1,72.0,1,2,1,0,2,0,0,2,0,1,1,2,89.7,6588.95
3687,1,0,1,1,19.0,1,0,1,0,2,0,2,2,2,1,0,0,100.0,1888.65
2751,0,0,1,1,19.0,0,1,0,0,0,0,0,0,0,0,1,3,24.85,434.8
3008,0,0,0,0,11.0,1,0,2,1,1,1,1,1,1,1,0,3,20.0,211.95
573,1,0,1,0,56.0,1,2,1,0,2,0,0,2,2,1,0,1,100.3,5614.45
6146,0,0,0,0,25.0,1,0,1,0,2,2,0,2,2,0,1,2,99.5,2369.05
6744,1,0,0,0,68.0,1,2,1,2,2,2,0,2,0,1,0,0,101.35,7110.75
269,0,0,1,0,71.0,1,2,2,1,1,1,1,1,1,2,1,1,24.25,1732.95
236,0,0,0,0,10.0,0,1,0,0,0,0,2,0,0,2,1,3,29.6,299.05
5943,1,0,0,0,1.0,1,0,1,0,0,2,0,2,0,0,1,2,84.85,84.85
5756,0,0,0,0,53.0,1,0,2,1,1,1,1,1,1,2,0,1,19.85,1049.6
4116,0,0,1,1,20.0,1,0,2,1,1,1,1,1,1,1,0,0,19.7,395.6
5166,1,0,0,0,61.0,1,2,1,2,0,2,0,2,2,1,0,2,104.0,6363.45
4222,1,0,0,0,45.0,1,0,1,2,2,2,2,2,2,1,0,1,112.2,5031.85
184,0,0,0,0,13.0,1,0,1,0,2,2,0,0,0,0,1,2,79.25,1111.65
2323,0,0,0,0,29.0,1,2,1,0,0,2,0,2,2,0,1,1,98.6,2933.2
128,1,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,0,3,19.75,19.75
4923,0,0,0,0,52.0,1,0,0,2,0,0,0,0,0,0,1,0,49.75,2535.55
4485,1,0,1,0,66.0,1,2,0,2,2,2,2,2,2,2,0,0,91.7,6075.9
3249,0,0,1,1,10.0,1,0,0,0,2,2,0,0,0,0,1,3,55.55,551.3
6949,1,0,1,1,32.0,0,1,0,0,0,2,2,0,0,1,1,3,36.25,1151.05
4163,1,0,1,0,65.0,1,2,0,2,2,2,0,0,0,1,0,1,67.05,4309.55
2785,0,0,0,0,25.0,1,2,1,0,2,2,2,2,2,2,0,2,108.9,2809.05
4183,1,0,0,1,1.0,0,1,0,0,2,0,2,0,0,0,0,3,33.6,33.6
5716,1,0,0,1,2.0,1,0,0,0,0,0,0,0,2,0,1,2,55.3,108.65
197,1,0,0,0,59.0,1,2,1,0,2,2,2,2,2,0,1,2,111.35,6519.75
5779,0,0,0,0,39.0,1,0,1,2,0,2,2,2,0,1,1,2,95.55,3692.85
4533,0,0,1,0,71.0,1,2,1,0,2,2,0,2,2,2,1,0,105.15,7555.0
1114,1,0,1,0,32.0,1,2,1,0,2,0,0,2,2,0,1,1,98.85,3145.9
1544,1,0,1,0,30.0,1,0,0,0,0,2,0,0,0,0,1,3,50.0,1474.9
431,0,0,1,1,72.0,0,1,0,2,2,2,2,2,2,2,1,1,65.2,4784.45
6583,0,0,0,0,22.0,1,0,2,1,1,1,1,1,1,1,1,3,19.25,412.55
3872,1,0,1,1,9.0,1,0,1,0,0,2,2,2,2,0,0,2,103.1,970.45
6695,0,0,1,1,71.0,1,2,0,2,2,2,2,0,0,2,0,3,71.1,5224.95
6450,0,0,1,1,27.0,1,0,2,1,1,1,1,1,1,2,0,3,19.9,550.1
5804,0,0,1,1,71.0,1,2,2,1,1,1,1,1,1,2,0,1,23.9,1663.5
3772,1,0,1,0,1.0,1,0,1,2,0,0,0,2,2,0,1,2,95.0,95.0
4305,0,0,1,0,29.0,1,0,2,1,1,1,1,1,1,2,1,3,19.55,521.8
5082,1,0,1,1,21.0,1,0,2,1,1,1,1,1,1,1,0,3,19.8,350.1
3803,1,0,1,0,61.0,1,2,1,0,2,0,2,2,0,2,1,2,94.1,5638.3
4266,1,0,0,0,62.0,1,2,1,2,2,0,2,0,2,1,0,2,102.0,6529.25
6202,1,0,1,1,21.0,1,2,0,2,2,0,2,2,0,1,0,3,77.5,1625.0
5317,0,0,0,0,6.0,1,0,0,0,0,0,2,0,0,0,1,0,49.65,267.35
744,0,0,0,0,5.0,1,0,0,0,0,0,0,0,0,0,1,1,44.05,202.15
6483,1,0,1,1,13.0,1,0,1,0,0,2,0,2,2,0,0,2,97.0,1334.45
5271,1,0,0,1,13.0,1,0,0,0,0,0,0,2,2,0,0,1,66.4,831.75
6448,1,0,0,0,58.0,1,2,1,0,0,2,2,2,2,1,1,2,104.65,6219.6
7039,0,0,1,1,72.0,1,2,1,0,2,2,0,2,2,1,1,1,103.2,7362.9
4058,0,0,1,1,40.0,1,2,1,0,0,2,2,0,0,0,1,2,84.85,3303.05
2870,1,0,1,0,57.0,1,2,1,0,0,2,2,2,2,2,0,2,107.95,5969.85
6599,0,0,1,0,13.0,1,2,1,0,2,2,0,2,0,0,0,2,94.1,1215.6
1392,1,0,1,1,33.0,1,0,2,1,1,1,1,1,1,1,0,1,20.1,620.55
5631,1,0,1,0,3.0,0,1,0,0,0,0,0,0,0,0,0,3,25.0,78.25
1327,1,0,1,0,59.0,1,2,1,0,0,2,0,2,2,1,1,0,99.5,5961.1
2312,1,0,0,0,18.0,1,0,2,1,1,1,1,1,1,1,0,3,20.1,401.85
4148,0,0,0,0,29.0,1,0,2,1,1,1,1,1,1,0,0,1,19.35,601.6
991,0,0,0,0,58.0,1,2,2,1,1,1,1,1,1,2,0,1,24.35,1423.85
3942,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,1,2,42.9,42.9
369,1,0,1,1,72.0,1,2,1,2,2,2,2,2,2,2,1,1,112.6,8126.65
4420,1,0,0,0,27.0,1,0,0,2,0,2,2,2,0,1,0,1,69.35,1927.3
1627,1,0,0,0,11.0,1,0,1,0,2,0,0,0,0,0,1,3,75.9,866.4
3396,0,0,1,1,58.0,1,0,1,2,2,0,0,2,2,1,0,1,99.25,5846.65
3892,0,0,0,0,17.0,1,0,2,1,1,1,1,1,1,0,0,1,19.7,340.35
1268,1,0,1,0,59.0,1,2,1,2,2,2,0,2,2,1,1,2,110.15,6448.05
5865,0,0,1,0,3.0,1,0,2,1,1,1,1,1,1,0,0,3,20.85,72.0
5270,1,0,0,1,40.0,1,0,0,2,2,0,0,0,0,0,1,3,55.25,2139.2
5156,1,0,0,0,17.0,1,0,0,2,2,0,0,0,0,1,0,3,56.1,946.95
1391,1,0,1,0,29.0,1,2,1,0,2,2,0,0,0,0,1,2,85.8,2440.25
1523,1,0,0,0,8.0,1,0,0,0,0,0,0,0,0,0,0,3,43.55,335.4
6205,1,0,1,0,42.0,1,2,1,0,2,2,0,2,0,0,1,0,95.25,3959.35
4917,0,0,0,0,15.0,1,0,2,1,1,1,1,1,1,0,0,3,19.6,299.4
5287,1,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,0,1,20.55,20.55
732,1,0,1,1,25.0,1,0,1,0,2,0,0,0,0,0,1,2,75.5,1901.05
4294,0,0,0,0,12.0,1,0,1,2,0,0,0,2,0,1,1,1,85.15,979.05
4018,0,0,1,1,7.0,1,0,0,2,2,2,0,2,0,1,0,2,69.45,477.05
2866,0,0,0,0,12.0,1,0,1,0,2,0,0,0,2,0,1,2,84.6,1017.35
1913,0,0,0,0,65.0,1,2,1,0,2,2,0,2,0,1,1,2,95.5,6153.85
5245,0,0,1,1,70.0,1,0,2,1,1,1,1,1,1,2,1,1,20.15,1411.2
2843,0,0,1,1,52.0,1,0,2,1,1,1,1,1,1,2,0,3,19.85,1070.5
5823,0,0,0,0,22.0,1,0,2,1,1,1,1,1,1,0,1,3,20.05,470.2
1987,0,0,1,1,25.0,1,0,1,0,2,2,0,2,0,0,1,0,89.15,2257.75
665,0,0,0,0,3.0,1,0,1,0,0,2,0,0,0,0,1,3,74.75,238.1
1236,1,0,0,0,3.0,1,2,1,0,0,0,0,0,0,0,1,2,76.95,228.4
5168,1,0,0,0,9.0,1,0,1,0,0,0,0,0,2,0,1,2,80.8,713.1
1036,1,0,1,1,68.0,1,2,1,2,2,2,2,2,2,2,1,0,114.7,7849.85
4510,0,0,0,0,38.0,1,2,0,0,2,0,2,0,2,0,0,1,68.15,2656.3
1908,1,0,0,0,69.0,1,0,2,1,1,1,1,1,1,2,0,1,19.95,1399.35
6184,1,0,0,0,41.0,1,2,0,0,0,2,0,0,0,0,1,0,55.7,2237.55
6318,1,0,0,1,12.0,1,0,2,1,1,1,1,1,1,0,0,1,21.05,235.8
2051,0,0,1,1,69.0,1,0,2,1,1,1,1,1,1,2,0,3,19.4,1346.2
1512,0,0,1,1,14.0,1,2,1,0,0,0,0,2,0,0,1,2,84.8,1203.9
5511,1,0,1,0,70.0,1,2,0,2,0,0,2,2,2,2,1,1,76.95,5289.8
1347,1,0,0,0,19.0,1,0,2,1,1,1,1,1,1,2,1,3,19.95,373.5
25,0,0,0,0,30.0,1,0,0,2,2,0,0,0,0,0,1,0,55.3,1530.6
4393,0,0,1,0,21.0,1,2,1,0,0,0,0,0,2,0,1,2,86.5,1808.7
2473,0,0,1,1,6.0,1,0,2,1,1,1,1,1,1,0,0,3,19.85,119.3
908,0,0,0,1,8.0,1,0,2,1,1,1,1,1,1,0,0,3,19.95,170.9
2475,0,0,0,0,53.0,1,0,1,2,2,2,2,0,2,2,0,3,99.5,5424.25
3269,1,0,0,0,65.0,1,2,2,1,1,1,1,1,1,1,0,1,24.8,1600.95
4029,0,0,0,0,56.0,0,1,0,2,2,2,2,0,0,2,0,0,45.05,2560.1
2848,1,0,1,1,24.0,1,0,0,2,0,2,0,0,0,1,1,1,56.25,1454.25
790,0,0,1,1,60.0,0,1,0,2,0,2,2,2,2,2,0,1,59.85,3590.2
1071,0,0,0,0,2.0,1,0,0,0,2,0,0,0,0,0,1,1,49.05,91.1
4631,1,0,0,0,5.0,1,2,1,0,0,2,0,2,0,0,1,2,92.5,452.7
3298,0,0,0,0,4.0,1,0,2,1,1,1,1,1,1,0,0,3,20.05,83.3
5475,1,0,0,1,54.0,1,2,0,0,2,0,0,0,0,0,1,1,55.0,3092.65
6217,1,0,1,1,62.0,1,0,1,2,2,0,0,0,0,1,1,1,81.45,4983.05
3241,1,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,0,3,20.1,20.1
1664,0,0,0,0,46.0,1,2,1,0,0,0,0,2,2,0,0,0,96.05,4399.5
1182,1,0,0,0,57.0,0,1,0,2,0,2,0,2,2,0,1,2,53.75,3196.0
749,0,0,0,0,63.0,1,0,1,0,0,2,2,2,0,1,1,1,90.05,5817.0
3504,1,0,1,1,68.0,1,0,2,1,1,1,1,1,1,2,0,0,19.95,1377.7
1459,0,0,0,0,60.0,1,0,1,0,2,2,0,2,2,2,1,2,99.65,5941.05
4132,0,0,0,0,13.0,0,1,0,0,0,0,0,0,0,0,1,2,23.9,300.8
4867,1,0,1,0,34.0,1,2,1,0,0,2,0,2,2,0,0,2,100.85,3527.3
3413,0,0,1,1,29.0,1,0,1,0,0,0,0,2,2,0,1,1,87.8,2621.75
3665,1,0,1,0,71.0,1,2,1,2,2,2,0,2,0,2,1,2,99.0,6994.6
5331,1,0,1,1,44.0,0,1,0,2,2,2,2,0,2,2,1,1,54.05,2375.2
5388,1,0,1,1,1.0,1,0,2,1,1,1,1,1,1,0,0,3,19.9,19.9
2946,0,0,1,1,51.0,1,2,1,0,0,0,2,0,0,0,1,2,80.75,4116.9
5380,1,0,0,0,2.0,1,0,1,0,0,0,0,2,0,0,1,2,80.25,144.55
6999,1,0,0,0,3.0,0,1,0,2,2,0,0,0,0,0,1,3,35.45,106.85
6652,1,0,0,0,36.0,1,0,2,1,1,1,1,1,1,2,1,1,18.55,689.0
5969,0,0,0,0,31.0,1,0,1,2,0,2,2,0,0,0,0,2,87.6,2724.25
4683,1,0,0,0,24.0,1,2,1,0,0,0,0,2,2,0,1,2,94.1,2322.85
343,1,0,0,0,63.0,1,0,2,1,1,1,1,1,1,1,0,3,20.5,1328.15
1602,1,0,0,0,30.0,1,0,1,0,0,0,0,2,2,0,1,2,90.25,2755.35
1861,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,3,45.95,45.95
3900,0,0,1,1,35.0,1,0,2,1,1,1,1,1,1,1,0,3,19.65,708.8
3709,1,0,0,0,1.0,1,2,0,0,0,0,0,0,0,0,0,3,50.75,50.75
440,0,0,1,1,16.0,1,2,1,2,0,2,2,2,2,0,1,2,112.95,1882.55
1921,1,0,1,1,70.0,1,2,0,0,2,2,2,2,2,2,1,1,85.95,5931.75
2906,0,0,1,1,6.0,1,0,0,0,0,0,2,0,0,0,1,3,48.8,297.35
3316,0,0,1,0,26.0,0,1,0,2,2,2,0,2,0,1,0,0,47.85,1190.5
2044,1,0,0,0,7.0,1,0,2,1,1,1,1,1,1,1,0,3,19.5,128.6
3692,0,0,1,1,3.0,1,2,0,0,2,2,0,2,0,0,1,0,69.15,235.0
2779,1,0,0,0,9.0,1,2,1,0,0,0,0,2,0,0,1,2,85.35,758.6
174,0,0,0,0,32.0,1,0,2,1,1,1,1,1,1,1,0,0,20.55,654.55
1729,1,0,1,0,64.0,1,2,1,2,2,2,0,0,0,1,0,0,89.45,5692.65
4669,1,0,0,0,51.0,1,0,2,1,1,1,1,1,1,2,0,3,20.45,1042.65
3353,1,0,1,0,12.0,1,0,1,0,2,0,0,0,2,0,1,1,85.05,999.8
1501,1,0,0,0,13.0,1,0,2,1,1,1,1,1,1,2,0,3,19.95,243.65
4293,0,0,0,0,14.0,1,0,1,0,0,0,0,2,2,0,1,3,89.8,1129.1
3918,1,0,1,1,20.0,1,0,1,0,0,0,0,2,2,0,1,2,90.2,1776.55
2742,1,0,0,0,66.0,1,2,0,2,2,2,2,0,0,2,0,0,68.75,4447.55
3009,1,0,0,0,1.0,1,2,2,1,1,1,1,1,1,0,1,3,25.0,25.0
4394,1,0,0,0,19.0,1,2,0,0,0,2,2,0,0,0,0,2,59.55,1144.6
442,0,0,1,0,54.0,1,2,1,2,2,2,2,2,2,1,1,3,114.65,6049.5
1170,1,0,1,1,72.0,1,2,1,2,2,2,2,2,2,2,1,2,114.0,8093.15
6337,0,0,1,1,55.0,1,2,1,2,0,0,0,2,2,1,0,3,100.9,5448.6
5143,0,0,1,1,49.0,1,0,0,2,2,2,2,2,2,1,1,3,87.2,4345.0
5864,0,0,1,0,47.0,1,0,2,1,1,1,1,1,1,2,0,0,19.65,921.55
5321,0,0,1,0,69.0,1,0,1,2,2,0,2,2,2,1,1,1,106.4,7251.9
266,1,0,0,0,50.0,1,2,2,1,1,1,1,1,1,2,0,0,24.9,1195.25
2368,0,0,1,0,72.0,1,2,1,2,2,2,2,2,2,2,1,1,117.15,8529.5
1004,1,0,0,0,21.0,1,0,2,1,1,1,1,1,1,0,0,3,20.0,417.7
4275,0,0,0,0,1.0,1,2,2,1,1,1,1,1,1,0,1,3,25.75,25.75
3293,0,0,0,0,5.0,1,2,0,0,2,0,0,0,2,0,1,2,64.0,370.25
1907,0,0,0,0,7.0,1,0,0,2,2,0,2,2,2,0,1,2,78.5,571.05
1042,0,0,1,1,14.0,1,0,1,0,0,0,0,0,0,0,0,2,70.2,1046.5
6964,0,0,1,0,49.0,0,1,0,0,2,0,2,2,2,1,1,1,56.3,2780.6
5250,1,0,0,0,12.0,1,2,1,0,0,0,0,2,2,0,0,2,94.55,1173.55
4498,0,0,1,1,11.0,1,0,2,1,1,1,1,1,1,1,1,3,20.0,196.35
6106,1,0,0,0,2.0,1,0,0,2,0,2,0,0,0,0,1,3,55.1,113.35
6603,1,0,1,0,14.0,1,2,0,0,0,0,2,2,0,0,1,1,66.6,979.5
2904,1,0,0,0,25.0,1,0,1,0,0,0,0,0,0,0,0,3,70.95,1767.35
6115,0,0,1,1,72.0,1,0,1,2,2,2,2,2,2,2,1,1,109.5,7854.9
6456,0,0,0,1,50.0,1,0,1,0,0,0,0,0,0,2,0,1,70.35,3533.6
3849,0,0,1,0,58.0,1,2,1,2,2,2,0,2,2,2,1,0,109.45,6144.55
3464,0,0,1,0,31.0,1,0,1,0,2,0,0,0,2,0,1,0,83.85,2674.15
4348,0,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,1,3,19.1,19.1
4823,1,0,0,0,1.0,1,0,0,2,0,0,2,0,0,0,1,2,53.95,53.95
714,1,0,1,0,72.0,1,2,2,1,1,1,1,1,1,2,0,3,25.4,1710.9
1766,0,0,1,1,27.0,1,0,2,1,1,1,1,1,1,1,1,3,20.55,583.3
1632,1,0,0,0,48.0,1,2,1,0,2,2,0,2,2,1,1,1,106.1,5082.8
4111,0,0,0,0,22.0,1,0,0,0,2,2,0,2,0,1,0,0,65.25,1441.8
6709,1,0,1,0,50.0,1,2,1,0,0,0,2,2,2,1,0,2,99.4,5059.75
4306,1,0,1,1,40.0,1,2,1,2,2,0,2,2,2,0,1,1,110.1,4469.1
1192,1,0,0,0,7.0,1,2,1,0,0,2,0,2,0,0,1,2,90.45,593.45
7040,0,0,1,1,11.0,0,1,0,2,0,0,0,0,0,0,1,2,29.6,346.45
3783,0,0,1,0,66.0,1,2,1,0,2,2,0,2,2,0,1,2,105.2,6936.85
3067,1,0,0,0,6.0,1,0,1,0,2,0,0,0,2,0,1,2,84.4,556.35
6265,0,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0,1,3,45.25,74.2
730,0,0,0,0,45.0,1,2,1,0,0,2,2,0,0,0,1,2,87.25,3941.7
5993,1,0,0,0,2.0,1,0,1,0,2,0,0,0,0,0,0,2,74.95,151.75
7024,1,0,1,0,44.0,1,2,1,2,0,2,0,0,0,0,1,1,84.8,3626.35
4690,1,0,1,0,31.0,1,0,0,0,0,2,2,0,2,0,1,1,66.4,2019.8
6736,1,0,1,1,67.0,1,0,2,1,1,1,1,1,1,2,1,3,20.8,1411.9
1710,0,0,0,0,5.0,1,2,1,0,0,2,2,0,0,0,1,2,82.75,417.75
6489,1,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,1,3,18.85,18.85
1381,1,0,0,0,2.0,1,0,1,0,0,0,0,0,0,0,0,3,70.7,129.2
6808,1,0,0,0,39.0,1,0,1,2,0,2,0,2,2,2,1,2,100.45,3801.7
1926,1,0,1,1,49.0,1,2,1,0,0,2,0,2,2,0,1,2,99.8,4872.45
2695,1,0,1,0,52.0,1,2,0,2,2,2,2,0,2,1,1,1,81.4,4354.45
3003,1,0,0,1,27.0,1,2,1,0,0,0,2,0,0,0,1,2,79.5,2180.55
877,0,0,0,1,51.0,0,1,0,2,0,2,2,2,2,1,0,0,60.15,3077.0
1283,0,0,1,0,72.0,1,2,1,2,0,2,0,2,2,2,1,2,105.5,7544.0
6887,0,0,1,1,35.0,1,2,2,1,1,1,1,1,1,2,0,0,24.3,821.6
4444,0,0,0,0,3.0,1,0,2,1,1,1,1,1,1,0,0,3,19.85,63.75
4655,0,0,0,0,32.0,1,2,0,2,0,0,0,2,2,1,0,3,74.75,2282.95
1474,1,0,1,1,45.0,1,2,1,0,2,2,0,0,2,0,1,0,95.95,4456.65
3967,0,0,1,0,32.0,1,0,2,1,1,1,1,1,1,1,0,3,19.3,593.2
3147,0,0,1,0,15.0,1,0,1,2,0,2,0,2,2,0,0,2,101.75,1669.4
2629,1,0,0,0,2.0,1,0,1,0,0,0,0,0,0,0,0,1,70.7,140.7
2127,1,0,1,0,40.0,0,1,0,2,2,2,0,0,0,1,1,2,42.35,1716.45
650,0,0,0,0,3.0,1,0,1,0,0,0,0,0,0,0,1,0,69.55,222.3
6879,0,0,1,0,21.0,1,0,1,0,0,0,2,2,0,0,1,2,86.05,1818.9
2868,1,0,0,0,26.0,1,0,1,0,2,0,0,2,0,0,1,2,85.75,2146.5
3988,1,0,0,0,51.0,1,2,0,2,2,2,2,2,0,1,1,1,81.15,4126.2
4560,1,0,1,1,9.0,1,2,1,0,0,2,0,2,0,1,1,2,90.35,767.9
4670,0,0,1,1,46.0,0,1,0,2,2,0,0,0,0,0,0,0,35.05,1620.25
3741,1,0,1,1,72.0,1,2,1,2,2,2,2,0,2,2,1,1,104.9,7732.65
914,1,0,1,1,72.0,1,2,2,1,1,1,1,1,1,2,1,0,25.2,1798.9
2009,1,0,1,1,70.0,1,2,0,2,2,2,2,2,0,2,1,0,79.25,5731.85
5580,1,0,0,0,48.0,1,0,2,1,1,1,1,1,1,1,0,0,19.95,1004.5
3845,1,0,0,0,4.0,1,0,1,0,0,2,0,0,0,0,1,2,73.9,280.85
1843,0,0,1,1,71.0,1,0,2,1,1,1,1,1,1,2,0,1,19.7,1415.85
1384,0,0,1,0,22.0,1,0,1,0,0,0,0,0,0,0,1,2,69.25,1554.0
4502,1,0,0,0,55.0,1,2,1,0,0,0,0,2,2,0,1,2,96.8,5283.95
1316,1,0,0,0,7.0,1,0,2,1,1,1,1,1,1,0,1,3,19.95,147.5
1752,1,0,1,0,27.0,1,0,0,2,0,0,0,0,0,1,0,1,48.7,1421.75
4907,0,0,1,0,71.0,1,2,2,1,1,1,1,1,1,2,0,3,23.85,1672.1
3564,1,0,0,0,63.0,1,2,1,0,2,0,0,0,2,1,0,1,90.45,5825.5
4243,0,0,0,1,40.0,1,0,0,2,0,0,2,2,0,0,1,1,64.1,2460.35
401,0,0,0,0,11.0,1,0,2,1,1,1,1,1,1,1,0,1,20.05,237.7
806,1,0,0,0,18.0,1,0,0,0,0,2,2,0,0,0,0,1,55.2,1058.1
5345,1,0,0,0,26.0,1,0,1,0,2,2,0,2,0,0,0,2,89.8,2335.3
6253,0,0,0,0,56.0,0,1,0,0,0,0,0,2,2,0,1,1,44.85,2564.95
5653,0,0,0,0,7.0,1,0,1,0,0,0,0,2,0,0,1,2,79.0,522.95
3157,1,0,0,0,9.0,1,0,0,0,0,0,0,0,0,0,0,3,44.95,431.0
5998,1,0,1,0,48.0,1,0,2,1,1,1,1,1,1,2,1,3,20.05,1036.0
3630,0,0,0,0,4.0,1,0,2,1,1,1,1,1,1,0,0,0,20.95,85.5
1007,0,0,0,0,2.0,1,0,1,0,0,0,0,0,0,0,0,2,68.95,119.75
1393,0,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,0,3,20.35,20.35
5923,0,0,0,0,6.0,1,0,1,0,0,2,2,0,2,0,1,2,89.25,487.05
5560,1,0,1,0,61.0,1,0,1,0,2,2,2,0,2,0,0,1,94.15,5731.85
4021,0,0,1,1,1.0,1,0,2,1,1,1,1,1,1,0,1,3,20.5,20.5
6752,0,0,0,0,12.0,0,1,0,2,0,2,2,0,2,2,0,3,49.85,552.1
350,1,0,1,1,37.0,1,2,0,2,0,2,2,0,0,2,1,1,62.8,2278.75
4612,0,0,0,1,65.0,0,1,0,0,2,0,2,2,0,2,0,3,45.25,2933.95
6525,1,0,1,1,55.0,1,0,2,1,1,1,1,1,1,2,0,3,20.5,1177.95
6462,1,0,0,0,2.0,1,0,1,0,2,0,0,2,2,0,0,2,95.65,167.3
5343,0,0,1,0,52.0,0,1,0,2,2,2,2,2,2,2,0,1,66.25,3330.1
2805,0,0,1,0,60.0,1,0,0,2,2,0,2,0,0,2,0,0,59.85,3483.45
175,0,0,1,0,34.0,1,2,2,1,1,1,1,1,1,0,0,2,24.7,780.2
602,0,0,1,1,66.0,1,2,1,0,0,0,0,0,0,1,1,0,74.25,4859.25
1846,1,0,0,0,19.0,1,0,2,1,1,1,1,1,1,1,0,3,18.8,279.2
5179,1,0,0,0,3.0,1,0,0,0,0,0,2,2,2,0,1,2,69.35,191.35
3107,0,0,1,0,72.0,1,2,1,2,2,2,2,2,2,2,1,0,113.65,8182.75
2149,0,0,0,0,46.0,1,2,1,0,0,2,0,2,2,1,1,2,101.1,4674.4
1794,0,0,1,1,71.0,1,2,0,2,2,2,2,2,2,2,0,3,91.05,6293.75
940,0,0,0,1,24.0,1,0,2,1,1,1,1,1,1,1,0,0,21.05,531.55
4775,0,0,1,0,24.0,1,0,1,0,2,2,0,2,2,0,1,1,99.3,2431.35
